"","GrLivArea","SalePrice","Neighborhood","lGrLivArea","lSalePrice"
"56",1092,145000,"NAmes",6.99576615630485,11.8844890214027
"57",864,98000,"Edwards",6.76157276880406,11.4927227576527
"58",1212,186000,"Edwards",7.10002716662926,12.1335019526953
"59",1236,134450,"NAmes",7.11963563801764,11.808947661697
"60",864,97000,"NAmes",6.76157276880406,11.4824662574855
"61",1194,148000,"NAmes",7.08506429395255,11.9049675527463
"62",1487,113000,"Edwards",7.30451594646016,11.6351430976945
"63",1375,140000,"NAmes",7.22620901010067,11.8493977015914
"64",1306,76500,"BrkSide",7.17472430983638,11.2450460198146
"65",1302,158000,"NAmes",7.17165682276851,11.9703503120091
"66",1314,145000,"NAmes",7.18083119904456,11.8844890214027
"67",1382,176000,"NAmes",7.23128700432762,12.0782392740203
"68",1113,148000,"Edwards",7.01481435127554,11.9049675527463
"69",1632,139000,"NAmes",7.39756153552405,11.8422292121128
"70",1548,205000,"BrkSide",7.34471905414967,12.2307652581205
"71",1734,159000,"NAmes",7.45818615734049,11.9766594812024
"72",858,88000,"NAmes",6.75460409948796,11.3850920934603
"73",1396,153575,"BrkSide",7.24136628332232,11.9419443260321
"74",1716,131000,"Edwards",7.44775128004791,11.7829526021833
"75",1644,167000,"NAmes",7.40488757561612,12.0257490913989
"76",861,82500,"Edwards",6.75809450442773,11.3205535723228
"77",972,132000,"NAmes",6.87935580446044,11.7905572015685
"78",2978,242000,"NAmes",7.99900721324395,12.3966930051388
"79",1383,145250,"NAmes",7.23201033166476,11.8862116747142
"80",2134,214500,"BrkSide",7.6657534318617,12.2760650173502
"81",1728,119000,"NAmes",7.454719949364,11.6868787720937
"82",1056,139000,"NAmes",6.96224346426621,11.8422292121128
"83",1215,155000,"NAmes",7.10249935577465,11.9511803959014
"84",1040,87500,"NAmes",6.94697599213542,11.3793940723457
"85",1577,140200,"BrkSide",7.36327958696304,11.8508252535826
"86",958,151500,"NAmes",6.86484777797086,11.9283409039316
"87",1478,157500,"NAmes",7.29844510150815,11.9671807372478
"88",1111,95000,"Edwards",7.01301578963963,11.4616321705827
"89",1505,145000,"BrkSide",7.31654817718298,11.8844890214027
"90",1922,198500,"Edwards",7.56112158953024,12.1985443791094
"91",1394,159000,"NAmes",7.23993259132047,11.9766594812024
"92",1431,165000,"NAmes",7.26612877955645,12.0137007528827
"93",1268,132000,"NAmes",7.14519613499717,11.7905572015685
"94",1287,162000,"NAmes",7.16006920759613,11.9953516142145
"95",1319,123000,"NAmes",7.18462915271731,11.7199396343546
"96",904,61000,"Edwards",6.80682936039218,11.0186291431554
"97",1184,81000,"Edwards",7.07665381544395,11.3022044336546
"98",1125,125000,"Edwards",7.02553831463852,11.7360690162844
"99",1367,119000,"Edwards",7.22037383672395,11.6868787720937
"100",882,106500,"NAmes",6.78219205600679,11.5759002641316
"101",788,100000,"BrkSide",6.66949808985788,11.5129254649702
"102",1144,129000,"Edwards",7.04228617193974,11.7675676833438
"103",1812,169500,"NAmes",7.50218648660292,12.0406082058026
"104",1276,60000,"Edwards",7.15148546390474,11.0020998412042
"105",1134,126000,"Edwards",7.0335064842877,11.7440371859336
"106",1056,142000,"NAmes",6.96224346426621,11.8635823365834
"107",1196,139000,"NAmes",7.08673793451058,11.8422292121128
"108",907,109008,"NAmes",6.81014245011514,11.5991765530135
"109",904,119000,"BrkSide",6.80682936039218,11.6868787720937
"110",1196,110000,"Edwards",7.08673793451058,11.6082356447746
"111",1440,118000,"Edwards",7.27239839257005,11.6784399034478
"112",1573,162900,"BrkSide",7.36073990305828,12.0008917945901
"113",1689,127500,"Edwards",7.4318919168078,11.7558716435806
"114",1888,190000,"NAmes",7.54327334670545,12.1547793511426
"115",1203,110000,"BrkSide",7.09257371597468,11.6082356447746
"116",1277,167000,"NAmes",7.15226885603254,12.0257490913989
"117",1644,146500,"NAmes",7.40488757561612,11.8947807074393
"118",1072,148000,"Edwards",6.97728134163075,11.9049675527463
"119",1113,147000,"NAmes",7.01481435127554,11.8981878657609
"120",1073,156000,"NAmes",6.9782137426307,11.9576112862317
"121",1578,133000,"NAmes",7.36391350140582,11.7981044072039
"122",1269,155000,"NAmes",7.14598446771439,11.9511803959014
"123",1820,184000,"BrkSide",7.50659178007084,12.1226910365911
"124",912,120000,"NAmes",6.81563999007433,11.6952470217642
"125",1214,140000,"Edwards",7.10167597161944,11.8493977015914
"126",1041,124500,"NAmes",6.94793706861497,11.7320609948869
"127",1363,164900,"NAmes",7.21744343169653,12.0130945085477
"128",864,129900,"NAmes",6.76157276880406,11.7745202026587
"129",1244,150000,"NAmes",7.12608727329912,11.9183905730784
"130",1664,159000,"BrkSide",7.41697962138115,11.9766594812024
"131",4676,184750,"Edwards",8.45019832259196,12.1267588388104
"132",928,132000,"NAmes",6.8330317327862,11.7905572015685
"133",605,86000,"Edwards",6.40522845803084,11.3621025752356
"134",1362,128000,"BrkSide",7.21670948670946,11.7597855429018
"135",827,107500,"NAmes",6.71780469502369,11.5852461265499
"136",334,39300,"BrkSide",5.8111409929767,10.5789797978574
"137",1347,107500,"Edwards",7.20563517641036,11.5852461265499
"138",864,111250,"NAmes",6.76157276880406,11.6195352000285
"139",767,133000,"NAmes",6.64248680136726,11.7981044072039
"140",1635,210000,"BrkSide",7.39939808333135,12.2548628096996
"141",1126,108000,"Edwards",7.02642680869964,11.5898865061064
"142",1048,113000,"BrkSide",6.95463886488099,11.6351430976945
"143",1092,141000,"NAmes",6.99576615630485,11.8565151693603
"144",996,108000,"Edwards",6.9037472575846,11.5898865061064
"145",1674,185000,"Edwards",7.42297125104942,12.1281111040605
"146",943,135960,"NAmes",6.84906628263346,11.8201160038101
"147",1728,142600,"NAmes",7.454719949364,11.8677987869623
"148",864,120000,"NAmes",6.76157276880406,11.6952470217642
"149",1109,139000,"NAmes",7.01121398735037,11.8422292121128
"150",1216,118500,"NAmes",7.10332206252611,11.6826682395573
"151",1429,181900,"NAmes",7.26473017792987,12.1112123645062
"152",816,118500,"Edwards",6.70441435496411,11.6826682395573
"153",1573,133000,"BrkSide",7.36073990305828,11.7981044072039
"154",838,130000,"BrkSide",6.73101810048208,11.7752897294377
"155",935,79500,"BrkSide",6.84054652928869,11.2835123006424
"156",1986,205000,"NAmes",7.59387784460512,12.2307652581205
"157",2008,225000,"Edwards",7.60489448081162,12.3238556811866
"158",1054,137500,"NAmes",6.96034772910131,11.8313791960888
"159",832,105500,"NAmes",6.72383244082121,11.5664662318983
"160",864,67000,"Edwards",6.76157276880406,11.1124478983731
"161",1116,160000,"NAmes",7.01750614294126,11.982929094216
"162",1422,139900,"NAmes",7.25981961036319,11.8486831606536
"163",1520,153000,"NAmes",7.32646561384032,11.9381932003746
"164",2080,135000,"NAmes",7.64012317269536,11.8130300574206
"165",1350,168500,"NAmes",7.20785987143248,12.0346910287746
"166",1056,139400,"NAmes",6.96224346426621,11.8451027773086
"167",800,60000,"BrkSide",6.68461172766793,11.0020998412042
"168",796,85000,"Edwards",6.67959918584438,11.3504065354725
"169",2704,345000,"NAmes",7.90248743716286,12.7512996960135
"170",981,143250,"NAmes",6.88857245956536,11.872346634577
"171",1048,98300,"NAmes",6.95463886488099,11.4957793061353
"172",1094,155000,"Edwards",6.99759598298193,11.9511803959014
"173",1839,155000,"NAmes",7.51697722460432,11.9511803959014
"174",1510,108000,"Edwards",7.31986492980897,11.5898865061064
"175",1053,145500,"NAmes",6.95939851213398,11.8879313655937
"176",1458,97500,"NAmes",7.2848209125686,11.4876076569859
"177",1486,167000,"Edwards",7.3038432252777,12.0257490913989
"178",1392,110000,"NAmes",7.23849684089437,11.6082356447746
"179",1181,137500,"Edwards",7.07411681619736,11.8313791960888
"180",2380,129000,"NAmes",7.77485576666552,11.7675676833438
"181",1369,103600,"Edwards",7.22183582528845,11.5482926088075
"182",1136,140000,"NAmes",7.0352685992811,11.8493977015914
"183",1539,141500,"BrkSide",7.33888813383888,11.8600549960654
"184",616,89000,"BrkSide",6.42324696353352,11.3963916487143
"185",1148,123500,"Edwards",7.04577657687951,11.7239964350502
"186",729,52000,"BrkSide",6.59167373200866,10.8589989975636
"187",960,129000,"BrkSide",6.86693328446188,11.7675676833438
"188",864,124500,"NAmes",6.76157276880406,11.7320609948869
"189",1470,135000,"Edwards",7.29301767977278,11.8130300574206
"190",1698,320000,"Edwards",7.43720636687129,12.6760762747759
"191",864,120500,"NAmes",6.76157276880406,11.6994050319128
"192",1776,110000,"NAmes",7.48211892355212,11.6082356447746
"193",1040,93500,"NAmes",6.94697599213542,11.4457167152768
"194",1200,179000,"Edwards",7.09007683577609,12.0951410848229
"195",1529,98000,"Edwards",7.33236920592906,11.4927227576527
"196",1026,156000,"NAmes",6.93342302573071,11.9576112862317
"197",864,127500,"NAmes",6.76157276880406,11.7558716435806
"198",1301,100000,"BrkSide",7.1708884785125,11.5129254649702
"199",1220,102000,"Edwards",7.1066061377273,11.5327280922664
"200",1117,107000,"Edwards",7.0184017990692,11.580584113444
"201",912,114500,"NAmes",6.81563999007433,11.6483301019764
"202",773,110000,"NAmes",6.65027904858742,11.6082356447746
"203",1128,118000,"NAmes",7.028201432058,11.6784399034478
"204",980,135500,"NAmes",6.88755257166462,11.8167269193019
"205",1576,223500,"BrkSide",7.36264527041782,12.3171666930358
"206",1086,159950,"NAmes",6.99025650049388,11.9826165453777
"207",1442,157900,"NAmes",7.27378631784489,11.9697172002437
"208",1250,116000,"Edwards",7.13089883029635,11.6613454700885
"209",1008,137000,"NAmes",6.91572344863131,11.8277362048103
"210",784,109500,"BrkSide",6.66440902035041,11.6036798282387
"211",1392,166000,"NAmes",7.23849684089437,12.0197430673387
"212",1516,167000,"NAmes",7.32383056620232,12.0257490913989
"213",1144,139950,"NAmes",7.04228617193974,11.8490404949436
"214",1200,130500,"Edwards",7.09007683577609,11.7791285057449
"215",1165,174900,"NAmes",7.0604763659998,12.0719696610067
"216",1800,141000,"NAmes",7.49554194388426,11.8565151693603
"217",1445,158000,"NAmes",7.27586460054653,11.9703503120091
"218",1148,132500,"NAmes",7.04577657687951,11.7943379244084
"219",1002,148500,"NAmes",6.90975328164481,11.9083402372249
"220",894,109500,"NAmes",6.79570577517351,11.6036798282387
"221",910,116000,"NAmes",6.8134445995109,11.6613454700885
"222",1268,133000,"NAmes",7.14519613499717,11.7981044072039
"223",1090,157000,"Edwards",6.99393297522319,11.9640010843304
"224",892,100000,"NAmes",6.79346613258001,11.5129254649702
"225",1712,145000,"NAmes",7.44541755670169,11.8844890214027
"226",1393,135500,"Edwards",7.23921497377981,11.8167269193019
"227",2217,268000,"NAmes",7.70391020961631,12.498742259493
"228",1505,149500,"NAmes",7.31654817718298,11.9150516718129
"229",924,122900,"NAmes",6.82871207164168,11.7191262955541
"230",1796,140000,"NAmes",7.49331724886215,11.8493977015914
"231",858,110000,"NAmes",6.75460409948796,11.6082356447746
"232",1306,153000,"NAmes",7.17472430983638,11.9381932003746
"233",1063,128000,"NAmes",6.96885037834195,11.7597855429018
"234",2274,154300,"NAmes",7.72929567431048,11.9466540383513
"235",1015,88000,"BrkSide",6.92264389147589,11.3850920934603
"236",1229,135000,"Edwards",7.11395610956603,11.8130300574206
"237",1414,176500,"NAmes",7.25417784645652,12.0810761553555
"238",2200,145900,"Edwards",7.69621263934641,11.8906767345109
"239",925,117500,"NAmes",6.82979373751242,11.6741936125664
"240",2069,242000,"NAmes",7.63482067774554,12.3966930051388
"241",747,79900,"BrkSide",6.61606518513282,11.2885311317544
"242",1440,150000,"Edwards",7.27239839257005,11.9183905730784
"243",1144,143000,"NAmes",7.04228617193974,11.870599909242
"244",864,129000,"NAmes",6.76157276880406,11.7675676833438
"245",980,127500,"Edwards",6.88755257166462,11.7558716435806
"246",858,116500,"BrkSide",6.75460409948796,11.6656465519879
"247",1098,135000,"NAmes",7.00124562206948,11.8130300574206
"248",1095,140000,"NAmes",6.9985096422506,11.8493977015914
"249",1192,135000,"NAmes",7.0833878476253,11.8130300574206
"250",2019,167500,"BrkSide",7.61035761831284,12.0287386302473
"251",869,85500,"BrkSide",6.76734312526539,11.3562716549249
"252",894,110000,"Edwards",6.79570577517351,11.6082356447746
"253",999,178400,"NAmes",6.90675477864855,12.091783499128
"254",1164,125000,"Edwards",7.05961762829138,11.7360690162844
"255",1851,187000,"NAmes",7.5234813125735,12.1388638958367
"256",1230,121600,"BrkSide",7.11476944836646,11.7084922485142
"257",1050,136500,"NAmes",6.95654544315157,11.8240798936072
"258",944,82000,"Edwards",6.8501261661455,11.3144745262464
"259",1657,163500,"NAmes",7.41276401742656,12.0045682693194
"260",1664,100000,"Edwards",7.41697962138115,11.5129254649702
"261",1082,119200,"NAmes",6.98656645940643,11.6885580336134
"262",1132,176000,"Edwards",7.03174125876313,12.0782392740203
"263",1264,167500,"NAmes",7.1420365747068,12.0287386302473
"264",1376,105000,"NAmes",7.22693601849329,11.5617156291397
"265",845,84000,"Edwards",6.73933662735717,11.3385720778255
"266",1733,139600,"Edwards",7.45760928971561,11.8465364693104
"267",930,84900,"Edwards",6.8351845861473,11.3492293722994
"268",1977,165000,"NAmes",7.58933582317062,12.0137007528827
"269",1526,144500,"Edwards",7.3304052118444,11.8810347865346
"270",1154,154000,"NAmes",7.05098944706805,11.9447078813958
"271",1611,167900,"NAmes",7.38461038317697,12.0311238430656
"272",893,135000,"NAmes",6.7945865808765,11.8130300574206
"273",1048,135000,"NAmes",6.95463886488099,11.8130300574206
"274",1456,91500,"Edwards",7.28344822875663,11.4240942512636
"275",1426,159500,"Edwards",7.26262860097424,11.979799201207
"276",1096,138800,"NAmes",6.99942246750796,11.8407893270548
"277",1251,160000,"NAmes",7.13169851046691,11.982929094216
"278",1709,137500,"Edwards",7.44366368311559,11.8313791960888
"279",1040,92900,"NAmes",6.94697599213542,11.4392789248019
"280",1200,146000,"NAmes",7.09007683577609,11.8913619006905
"281",936,129000,"NAmes",6.84161547647759,11.7675676833438
"282",1324,128000,"BrkSide",7.18841273649695,11.7597855429018
"283",950,119500,"NAmes",6.85646198459459,11.6910716503537
"284",1134,135000,"NAmes",7.0335064842877,11.8130300574206
"285",1194,159500,"NAmes",7.08506429395255,11.979799201207
"286",816,129900,"NAmes",6.70441435496411,11.7745202026587
"287",1008,134500,"NAmes",6.91572344863131,11.809319478024
"288",1040,133700,"NAmes",6.94697599213542,11.80335376309
"289",960,112000,"Edwards",6.86693328446188,11.6262541502772
"290",698,118000,"Edwards",6.54821910276237,11.6784399034478
"291",1005,115000,"NAmes",6.91274282049318,11.6526874073454
"292",986,102000,"BrkSide",6.89365635460264,11.5327280922664
"293",1252,119000,"NAmes",7.13249755166004,11.6868787720937
"294",1167,144000,"BrkSide",7.06219163228656,11.8775685785581
"295",952,139000,"NAmes",6.85856503479136,11.8422292121128
"296",924,80000,"Edwards",6.82871207164168,11.289781913656
"297",1576,149000,"BrkSide",7.36264527041782,11.9117015849276
"298",932,124000,"NAmes",6.83733281468559,11.7280368445872
"299",1466,149900,"Edwards",7.2902928824466,11.9177236840907
"300",1820,201800,"NAmes",7.50659178007084,12.2150323869016
"301",1265,179900,"NAmes",7.14282740116162,12.1001564199386
"302",2108,235000,"Edwards",7.65349490966125,12.3673407931263
"303",1261,163000,"NAmes",7.13966033596492,12.0015054797889
"304",1124,93000,"Edwards",7.02464903045364,11.4403547721354
"305",1221,104900,"Edwards",7.1074254741107,11.5607627943844
"306",864,116050,"NAmes",6.76157276880406,11.6617764117026
"307",1348,117000,"BrkSide",7.20637729147225,11.6699292137799
"308",1283,140000,"NAmes",7.15695636461564,11.8493977015914
"309",672,113000,"Edwards",6.51025834052315,11.6351430976945
"310",999,134500,"NAmes",6.90675477864855,11.809319478024
"311",912,80500,"BrkSide",6.81563999007433,11.2960124634067
"312",912,115000,"NAmes",6.81563999007433,11.6526874073454
"313",1846,143000,"NAmes",7.5207764150628,11.870599909242
"314",2136,137900,"NAmes",7.66669020008009,11.8342840637814
"315",1138,145000,"NAmes",7.03702761468628,11.8844890214027
"316",912,147000,"NAmes",6.81563999007433,11.8981878657609
"317",1507,127000,"NAmes",7.3178761986265,11.7519423654407
"318",1190,132500,"NAmes",7.08170858610557,11.7943379244084
"319",1224,101800,"NAmes",7.10987946307227,11.5307653830986
"320",1188,142000,"NAmes",7.08002649992259,11.8635823365834
"321",988,119000,"NAmes",6.89568269774787,11.6868787720937
"322",2110,244000,"NAmes",7.65444322647011,12.4049235042753
"323",1656,165400,"Edwards",7.4121603349452,12.0161220615717
"324",1367,127500,"BrkSide",7.22037383672395,11.7558716435806
"325",864,99900,"Edwards",6.76157276880406,11.5119249646366
"326",1054,151000,"NAmes",6.96034772910131,11.9250351157971
"327",1050,128900,"NAmes",6.95654544315157,11.7667921889273
"328",1824,180500,"BrkSide",7.50878717063428,12.1034860567551
"329",1337,181000,"NAmes",7.19818357710194,12.106252310248
"330",1524,144000,"NAmes",7.32909373624659,11.8775685785581
"331",1357,177000,"Edwards",7.21303165983487,12.083905011556
"332",1920,137000,"NAmes",7.56008046502183,11.8277362048103
"333",1412,132500,"BrkSide",7.25276241805319,11.7943379244084
"334",1152,180500,"NAmes",7.04925484125584,12.1034860567551
"335",864,115000,"Edwards",6.76157276880406,11.6526874073454
"336",1052,138500,"NAmes",6.95844839329766,11.8386256046095
"337",1128,155000,"NAmes",7.028201432058,11.9511803959014
"338",1072,140000,"Edwards",6.97728134163075,11.8493977015914
"339",5642,160000,"Edwards",8.63799389156194,11.982929094216
"340",1246,154000,"NAmes",7.1276936993474,11.9447078813958
"341",1708,130000,"Edwards",7.44307837434852,11.7752897294377
"342",948,119000,"Edwards",6.85435450225502,11.6868787720937
"343",2112,206900,"NAmes",7.65539064482615,12.2399908637336
"344",948,111000,"Edwards",6.85435450225502,11.6172854802945
"345",1478,156500,"NAmes",7.29844510150815,11.9608112889623
"346",720,72500,"BrkSide",6.5792512120101,11.1913418408428
"347",708,82500,"BrkSide",6.56244409369372,11.3205535723228
"348",774,79000,"Edwards",6.65157187358973,11.2772031314492
"349",816,100000,"Edwards",6.70441435496411,11.5129254649702
"350",872,123000,"NAmes",6.77078942390898,11.7199396343546
"351",2634,200000,"NAmes",7.87625888230323,12.2060726455302
"352",1716,171000,"NAmes",7.44775128004791,12.0494188354848
"353",1176,134900,"BrkSide",7.06987412845857,11.8122890421958
"354",892,110000,"NAmes",6.79346613258001,11.6082356447746
"355",1078,149900,"NAmes",6.98286275146894,11.9177236840907
"356",1738,104900,"NAmes",7.46049030582534,11.5607627943844
"357",1661,165500,"NAmes",7.41517510961329,12.0167264737993
"358",1604,117000,"Edwards",7.38025578842646,11.6699292137799
"359",864,58500,"Edwards",6.76157276880406,10.9767820332199
"360",2117,237500,"NAmes",7.65775527113487,12.3779229024568
"361",1258,105000,"Edwards",7.13727843726039,11.5617156291397
"362",1218,131000,"BrkSide",7.10496544826984,11.7829526021833
"363",1584,124000,"NAmes",7.36770857237437,11.7280368445872
"364",900,123000,"NAmes",6.80239476332431,11.7199396343546
"365",1513,137500,"BrkSide",7.32184971378836,11.8313791960888
"366",1904,138000,"NAmes",7.55171221535131,11.8350089641393
"367",1158,120000,"BrkSide",7.05444965813294,11.6952470217642
"368",1668,140000,"NAmes",7.41938058291869,11.8493977015914
"369",1040,90000,"NAmes",6.94697599213542,11.4075649493124
"370",1848,207000,"BrkSide",7.52185925220163,12.2404740722475
"371",1144,124000,"NAmes",7.04228617193974,11.7280368445872
"372",2201,274970,"Edwards",7.69666708152646,12.5244172797888
"373",1344,144000,"NAmes",7.20340552108309,11.8775685785581
"374",1252,142000,"NAmes",7.13249755166004,11.8635823365834
"375",1558,140000,"NAmes",7.35115822643069,11.8493977015914
"376",1537,174000,"NAmes",7.3375877435386,12.0668105781967
"377",864,120500,"NAmes",6.76157276880406,11.6994050319128
"378",952,121000,"BrkSide",6.85856503479136,11.7035458245789
"379",1346,112000,"Edwards",7.20489251020467,11.6262541502772
"380",1792,136000,"NAmes",7.49108759353488,11.8204101647182
"381",1072,145000,"Edwards",6.97728134163075,11.8844890214027
"382",1078,142125,"NAmes",6.98286275146894,11.8644622310528
"383",1256,147500,"Edwards",7.13568734702814,11.901583454762
